,name,personality_type,I,N,T,P,F,J,S,E
423,Civil Engineer,ISTJ,80,-1,100,-1,-1,82,77,-1
424,Soldier,ISTJ,77,-1,97,-1,-1,68,100,-1
425,Voice Actor,ENFP,-1,89,-1,95,95,-1,-1,92
426,Mechanical Engineer,ISTP,95,-1,96,86,-1,-1,91,-1
427,Astronomer,INTP,96,95,94,81,-1,-1,-1,-1
428,Hitman,ISTP,99,-1,99,94,-1,-1,97,-1
429,Dentist,ISTJ,93,-1,74,-1,-1,98,86,-1
430,Drug Lord,ESTP,-1,-1,98,54,-1,-1,54,91
431,Electronics Engineer,INTP,100,74,100,85,-1,-1,-1,-1
432,Computer Software Engineer,INTP,91,88,94,74,-1,-1,-1,-1
433,Veterinarian,ISFJ,96,-1,-1,-1,90,70,76,-1
434,Spy,ISTP,91,-1,98,86,-1,-1,84,-1
435,Mangaka,INFP,97,91,-1,93,74,-1,-1,-1
436,Plague Doctor,INTJ,94,90,91,-1,-1,95,-1,-1
437,Astrophysicist,INTP,86,98,96,75,-1,-1,-1,-1
438,Military Sniper,ISTP,97,-1,98,78,-1,-1,92,-1
439,Forensic Psychologist,ENTP,-1,98,77,70,-1,-1,-1,62
440,Video Game Designer,INTP,93,94,86,85,-1,-1,-1,-1
441,Film Director,INTJ,67,96,68,-1,-1,59,-1,-1
442,Chef,ESTJ,-1,-1,60,-1,-1,76,88,85
443,Police Officer,ESTJ,-1,-1,96,-1,-1,81,97,71
444,Professional Chess Player,INTJ,96,93,98,-1,-1,84,-1,-1
445,Stripper,ESFP,-1,-1,-1,90,69,-1,90,90
446,CEO,ENTJ,-1,91,98,-1,-1,98,-1,95
447,Mathematician,INTP,94,83,98,69,-1,-1,-1,-1
448,Architect,INTJ,93,59,95,-1,-1,55,-1,-1
449,Atomic Scientist,INTP,100,100,100,67,-1,-1,-1,-1
450,UI Designer,INFP,88,88,-1,75,88,-1,-1,-1
451,Cosmologist,INTP,87,98,94,85,-1,-1,-1,-1
452,Urban Planner,INTJ,77,71,97,-1,-1,90,-1,-1
453,Marine Biologist,ISFP,85,-1,-1,87,56,-1,46,-1
454,Streamer,ENTP,-1,70,51,98,-1,-1,-1,97
455,STEM Career,INTJ,80,88,92,-1,-1,72,-1,-1
456,Chemistry Professor,INTJ,96,57,87,-1,-1,91,-1,-1
457,Electrical Engineer,ISTP,94,-1,100,78,-1,-1,54,-1
458,Data Scientist,ISTJ,98,-1,99,-1,-1,89,47,-1
459,Musicians and Singers,ISFP,89,-1,-1,95,93,-1,72,-1
460,Intelligence Analyst,INTJ,100,99,100,-1,-1,83,-1,-1
461,Ghost Hunter,ENFP,-1,57,-1,100,57,-1,-1,57
462,Radiologist,INTP,100,59,93,56,-1,-1,-1,-1
463,Salesperson,ESTP,-1,-1,95,82,-1,-1,55,100
464,Gangster,ESTP,-1,-1,97,94,-1,-1,90,77
465,Cybersecurity Engineer,INTJ,95,80,100,-1,-1,80,-1,-1
466,Neurosurgeon,INTJ,85,65,100,-1,-1,90,-1,-1
467,Vigilante,ISFP,58,-1,-1,92,50,-1,92,-1
468,Translator,INFP,95,58,-1,46,49,-1,-1,-1
469,Model,ESFP,-1,-1,-1,80,90,-1,94,87
470,Fashion Designer,ISFP,70,-1,-1,85,93,-1,69,-1
471,Politician,ENTJ,-1,68,81,-1,-1,91,-1,98
472,Tarot Reader,INFJ,91,92,-1,-1,94,67,-1,-1
473,Author,INFP,96,97,-1,80,92,-1,-1,-1
474,Astrologer,INFJ,90,92,-1,-1,89,58,-1,-1
475,Artist,ISFP,94,-1,-1,95,96,-1,66,-1
476,Hacker,INTP,93,93,99,89,-1,-1,-1,-1
477,Photographer,ISFP,92,-1,-1,92,65,-1,77,-1
478,Inventor,ENTP,-1,97,97,94,-1,-1,-1,74
479,Neuroscientist,INTJ,97,92,88,-1,-1,90,-1,-1
480,Psychiatrist,INTJ,94,90,55,-1,-1,91,-1,-1
481,Actor,ESFP,-1,-1,-1,89,97,-1,49,90
482,Professional Gamer,ISTP,93,-1,96,98,-1,-1,60,-1
483,Historian,ISTJ,97,-1,91,-1,-1,95,48,-1
484,Computer Programmer,INTP,97,91,96,80,-1,-1,-1,-1
485,Professional Sleeper,INTP,86,100,50,93,-1,-1,-1,-1
486,Barber,ISTP,80,-1,44,58,-1,-1,98,-1
487,Poet / Lyricist / Creative Writer,INFP,98,98,-1,89,96,-1,-1,-1
488,Doctor,ISTJ,79,-1,70,-1,-1,95,85,-1
489,Criminal Investigator,INTJ,95,86,63,-1,-1,78,-1,-1
490,Entrepreneur,ENTJ,-1,63,98,-1,-1,46,-1,92
491,Physics Professor,INTP,93,94,98,53,-1,-1,-1,-1
492,Teacher,ESFJ,-1,-1,-1,-1,82,98,64,85
493,Lawyer,ESTJ,-1,-1,96,-1,-1,70,57,90
494,Clown,ENFP,-1,73,-1,97,75,-1,-1,97
495,Activist,ENFJ,-1,97,-1,-1,98,54,-1,93
496,Psychologist,INFJ,81,93,-1,-1,95,86,-1,-1
497,Detective,ISTP,97,-1,97,56,-1,-1,53,-1
498,Philosopher,INTP,95,99,54,50,-1,-1,-1,-1
